id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
39,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/0/5/4/7/0/4/1683325389-320321-40745048.jpeg,merkezi lokasyonda keyifli bahçeli 250 m2 ters dublex,300 m²,4 + 1,11.650.000 ₺,Sahibinden Satılık Daire,Şişli,06-05-2023
40,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/1/5/4/7/0/4/e15e023c-1d10-4b1e-a81f-dbc87d84a37b.jpeg,deniz istanbul mercan turkish citizenship ready to move 4+1,214 m²,4 + 1,13.250.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,05-05-2023
41,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/6/4/4/7/0/4/1683312201-7583609-40744646.jpeg,sahibinden barış mah.sezgi sitesinde güney cephe 3+1 satılık daire,160 m²,3 + 1,3.590.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,06-05-2023
42,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/6/1/4/7/0/4/sLCMUF78sqVrSfGcNfygD.jpg,kızıltoprak'ta 12 yıllık binada 3+1 satılık boş daire,95 m²,3 + 1,5.900.000 ₺,Sahibinden Satılık Daire,Kadıköy,05-05-2023
43,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/7/9/3/7/0/4/1683226699924-40739765.jpg,merkezi konumda yeni binada dublex daire,131 m²,2 + 2,3.100.000 ₺,Sahibinden Satılık Daire,Kartal,05-05-2023
44,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/6/8/3/7/0/4/1683209166-142932-40738614.jpeg,mimardan satılık ultra lüks akıllı ev full döşeli,528 m²,7 + 1,15.500.000 ₺,Satılık,Şile,04-05-2023
45,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/5/9/3/7/0/4/1683219810395-40739507.jpg,ataşehir'de satılık daire,135 m²,3 + 1,4.500.000 ₺,Sahibinden Satılık Daire,Ataşehir,04-05-2023
46,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/1/9/3/7/0/4/2086141c-7b63-4629-9ae5-df18414398a2.jpeg,yunus emre de merkezi lokasyonda fırsat daire,120 m²,3 + 1,2.475.000 ₺,Sahibinden Satılık Daire,Sancaktepe,05-05-2023
47,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/5/9/3/7/0/4/1683220257763-40739526.jpg,sahibinden kiralık esyalı 2+1 daire,115 m²,2 + 1,8.000 ₺,Sahibinden Kiralık Daire,Fatih,06-05-2023
48,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/9/9/3/7/0/4/CXCmPPtmDLP9u8058uAl9.jpeg,sahibinden cadde üzeri asansörlü kaçırılmayacak fırsat 2+1 ara kat,120 m²,2 + 1,3.100.000 ₺,Sahibinden Satılık Daire,Gaziosmanpaşa,05-05-2023
49,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/8/6/3/7/0/4/t_hdWac0zt1glQmBcOBCw.jpg,acilllll sahibinden tapulu - 3+1 acunkent sitesi - kelepir daire,140 m²,3 + 1,1.140.000 ₺,Sahibinden Satılık Daire,Esenyurt,04-05-2023
50,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/8/7/3/7/0/4/1683207361786-40737818.jpg,sinpaş liva turkuaz sitesi panoramik b-blok  ara kat sosyal donanımlı site sahibinden 3+1 satılık,148 m²,3 + 1,5.500.000 ₺,Sahibinden Satılık Daire,Sultanbeyli,04-05-2023
51,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/4/8/2/7/0/4/1683084279-1339731-40728488.jpeg,"2+1 eşyalı metrobüs deniz ve göle çok  yakın, for rent,  برای اجاره. ,    للايجار",130 m²,2 + 1,10.500 ₺,Sahibinden Kiralık Daire,Avcılar,03-05-2023
52,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/9/3/3/7/0/4/1683142666662-40733995.jpg,ortaköy sahilde 1+1,55 m²,1 + 1,1.820.000 ₺,Sahibinden Satılık Daire,Beşiktaş,06-05-2023
53,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/9/3/3/7/0/4/1683142064416-40733979.jpg,siyavuşpaşada tadilatlı 3+1 merkezi konumda,135 m²,3 + 1,3.450.000 ₺,Sahibinden Satılık Daire,Bahçelievler,04-05-2023
54,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/7/2/3/7/0/4/1683123889237-40732734.jpg,"ataşehir varyap meridien""de yüksek kat kiralık 1+1",75 m²,1 + 1,18.000 ₺,Sahibinden Kiralık Daire,Ataşehir,04-05-2023
55,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/8/3/3/7/0/4/1683138096-599712-40733802.jpeg,denizköşklerin en nezih yerinde metrobüse 1 dk,145 m²,3 + 1,14.500 ₺,Sahibinden Kiralık Daire,Avcılar,04-05-2023
56,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/5/0/3/7/0/4/1683108532-673455-40730581.jpeg,beylikdüzü büyükşehir mah. 2+1 sahibinden daire,85 m²,2 + 1,2.270.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,03-05-2023
57,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/6/8/2/7/0/4/1683091949-2648978-40728642.jpeg,selimpaşa tam merkezde sahibinden satılık,100 m²,3 + 1,3.300.000 ₺,Sahibinden Satılık Daire,Silivri,05-05-2023
